Gen: 1	Fit: 13.275000
Gen: 2	Fit: 12.795000
Gen: 3	Fit: 12.650000
Gen: 4	Fit: 12.150000
Gen: 5	Fit: 12.030000
Gen: 6	Fit: 12.075000
Gen: 7	Fit: 12.030000
Gen: 8	Fit: 12.025000
Gen: 9	Fit: 12.355000
Gen: 10	Fit: 12.400000
Gen: 11	Fit: 12.395000
Gen: 12	Fit: 12.245000
Gen: 13	Fit: 12.175000
Gen: 14	Fit: 12.155000
Gen: 15	Fit: 12.410000
Gen: 16	Fit: 12.405000
Gen: 17	Fit: 12.215000
Gen: 18	Fit: 12.215000
Gen: 19	Fit: 12.200000
Gen: 20	Fit: 12.010000
